image_urls,name,price,shop
https://s.ek.ua/jpg/1238657.jpg,Canon SELPHY CP1300,5999,FOXTROT.UA
https://s.ek.ua/jpg/539552.jpg,Pantum P2500W,5054,Kvshop.com.ua
https://s.ek.ua/jpg/539552.jpg,Pantum P2500W,4532,A-techno.com.ua
https://s.ek.ua/jpg/539552.jpg,Pantum P2500W,4746,Palladium.ua
https://s.ek.ua/jpg/2200668.jpg,Canon MAXIFY GX5040,21159,Tviy-Dim.com
https://s.ek.ua/jpg/2200668.jpg,Canon MAXIFY GX5040,18999,Aligator.com.ua
https://s.ek.ua/jpg/1238657.jpg,Canon SELPHY CP1300,5830,A-techno.com.ua
https://s.ek.ua/jpg/1238657.jpg,Canon SELPHY CP1300,6411,Palladium.ua
https://s.ek.ua/jpg/1238657.jpg,Canon SELPHY CP1300,5599,Repka.ua
https://s.ek.ua/jpg/539552.jpg,Pantum P2500W,5067,Цифра
https://s.ek.ua/jpg/539552.jpg,Pantum P2500W,5067,Stylus.ua
https://s.ek.ua/jpg/1560043.jpg,Epson L1110,8233,Click24.in.ua
https://s.ek.ua/jpg/1560043.jpg,Epson L1110,8316,Ebox24.biz
https://s.ek.ua/jpg/1238657.jpg,Canon SELPHY CP1300,5999,Ktc.ua
https://s.ek.ua/jpg/1975502.jpg,Canon PIXMA G1420,6999,Moyo.ua
https://s.ek.ua/jpg/539552.jpg,Pantum P2500W,5054,TTT.ua
https://s.ek.ua/jpg/914763.jpg,HP OfficeJet 202 Mobile,16499,Moyo.ua
https://s.ek.ua/jpg/1560043.jpg,Epson L1110,6679,Ady.com.ua
https://s.ek.ua/jpg/2256668.jpg,Canon i-SENSYS LBP673CDW,16594,Kvshop.com.ua
https://s.ek.ua/jpg/1975502.jpg,Canon PIXMA G1420,7399,Kvshop.com.ua
https://s.ek.ua/jpg/1975502.jpg,Canon PIXMA G1420,6999,FOXTROT.UA
https://s.ek.ua/jpg/1975502.jpg,Canon PIXMA G1420,6793,A-techno.com.ua
https://s.ek.ua/jpg/914763.jpg,HP OfficeJet 202 Mobile,16499,FOXTROT.UA
https://s.ek.ua/jpg/914763.jpg,HP OfficeJet 202 Mobile,15292,A-techno.com.ua
https://s.ek.ua/jpg/914763.jpg,HP OfficeJet 202 Mobile,16283,Stylus.ua
https://s.ek.ua/jpg/2256668.jpg,Canon i-SENSYS LBP673CDW,15299,Stylus.ua
https://s.ek.ua/jpg/1975502.jpg,Canon PIXMA G1420,6704,Stylus.ua
https://s.ek.ua/jpg/1975502.jpg,Canon PIXMA G1420,6607,Цифра
https://s.ek.ua/jpg/914763.jpg,HP OfficeJet 202 Mobile,16283,Цифра
https://s.ek.ua/jpg/914763.jpg,HP OfficeJet 202 Mobile,16499,TTT.ua
https://s.ek.ua/jpg/914763.jpg,HP OfficeJet 202 Mobile,16499,Repka.ua
https://s.ek.ua/jpg/2256668.jpg,Canon i-SENSYS LBP673CDW,14999,Цифра
https://s.ek.ua/jpg/2256668.jpg,Canon i-SENSYS LBP673CDW,17999,Ktc.ua
https://s.ek.ua/jpg/1975502.jpg,Canon PIXMA G1420,6999,TTT.ua
https://s.ek.ua/jpg/1376497.jpg,Brother HL-L2312D,5790,Megadom.biz
https://s.ek.ua/jpg/1961162.jpg,Polaroid Hi-Print,4908,Stylus.ua
https://s.ek.ua/jpg/1961162.jpg,Polaroid Hi-Print,4018,Timesport.com.ua
https://s.ek.ua/jpg/2256668.jpg,Canon i-SENSYS LBP673CDW,17999,АЛЛО
